,relevent_experience,company_size,training_hours
10694,Has relevent experience,1000-4999,108
10695,Has relevent experience,50-99,37
10696,No relevent experience,100-500,56
10697,Has relevent experience,<10,39
10698,Has relevent experience,50-99,10
10699,Has relevent experience,500-999,73
10700,Has relevent experience,10000+,70
10701,Has relevent experience,50-99,112
10702,Has relevent experience,10/49,80
10703,No relevent experience,no experience,110
10704,Has relevent experience,50-99,48
10705,No relevent experience,100-500,99
10706,Has relevent experience,10000+,30
10707,Has relevent experience,500-999,48
10708,Has relevent experience,10000+,170
10709,Has relevent experience,10/49,13
10710,No relevent experience,no experience,60
10711,Has relevent experience,5000-9999,34
10712,No relevent experience,no experience,262
10713,Has relevent experience,100-500,67
10714,Has relevent experience,100-500,32
10715,No relevent experience,10/49,17
10716,Has relevent experience,<10,51
10717,Has relevent experience,50-99,27
10718,No relevent experience,10000+,56
10719,No relevent experience,50-99,14
10720,No relevent experience,no experience,73
10721,Has relevent experience,100-500,76
10722,No relevent experience,no experience,21
10723,No relevent experience,500-999,10
10724,Has relevent experience,50-99,10
10725,Has relevent experience,no experience,78
10726,Has relevent experience,5000-9999,33
10727,Has relevent experience,1000-4999,84
10728,Has relevent experience,no experience,22
10729,No relevent experience,10000+,63
10730,Has relevent experience,50-99,41
10731,No relevent experience,no experience,192
10732,Has relevent experience,10000+,36
10733,Has relevent experience,50-99,22
10734,Has relevent experience,100-500,21
10735,No relevent experience,no experience,9
10736,Has relevent experience,10/49,44
10737,Has relevent experience,10000+,105
10738,Has relevent experience,5000-9999,102
10739,No relevent experience,no experience,90
10740,Has relevent experience,500-999,192
10741,Has relevent experience,10000+,25
10742,Has relevent experience,50-99,74
10743,No relevent experience,no experience,28
10744,No relevent experience,no experience,90
10745,Has relevent experience,<10,65
10746,Has relevent experience,10/49,10
10747,No relevent experience,no experience,28
10748,Has relevent experience,1000-4999,114
10749,Has relevent experience,no experience,118
10750,Has relevent experience,50-99,19
10751,Has relevent experience,100-500,72
10752,Has relevent experience,10/49,66
10753,No relevent experience,no experience,39
10754,Has relevent experience,<10,24
10755,Has relevent experience,10000+,6
10756,Has relevent experience,1000-4999,242
10757,Has relevent experience,10000+,43
10758,Has relevent experience,50-99,58
10759,No relevent experience,no experience,84
10760,No relevent experience,no experience,51
10761,Has relevent experience,50-99,270
10762,Has relevent experience,no experience,28
10763,Has relevent experience,100-500,35
10764,Has relevent experience,50-99,25
10765,Has relevent experience,50-99,101
10766,Has relevent experience,50-99,15
10767,Has relevent experience,100-500,78
10768,Has relevent experience,500-999,106
10769,Has relevent experience,10000+,42
10770,Has relevent experience,<10,26
10771,Has relevent experience,10/49,101
10772,No relevent experience,10000+,5
10773,Has relevent experience,5000-9999,9
10774,Has relevent experience,no experience,20
10775,Has relevent experience,no experience,18
10776,Has relevent experience,100-500,25
10777,Has relevent experience,100-500,16
10778,Has relevent experience,1000-4999,60
10779,Has relevent experience,1000-4999,51
10780,No relevent experience,no experience,154
10781,Has relevent experience,50-99,11
10782,No relevent experience,10000+,20
10783,Has relevent experience,10000+,74
10784,Has relevent experience,50-99,72
10785,Has relevent experience,10000+,41
10786,Has relevent experience,100-500,20
10787,Has relevent experience,10000+,316
10788,Has relevent experience,500-999,60
10789,Has relevent experience,50-99,164
10790,Has relevent experience,5000-9999,16
10791,Has relevent experience,100-500,31
10792,Has relevent experience,1000-4999,101
10793,No relevent experience,no experience,43
10794,Has relevent experience,10/49,43
10795,Has relevent experience,100-500,144
10796,Has relevent experience,5000-9999,27
10797,Has relevent experience,1000-4999,28
10798,Has relevent experience,10/49,55
10799,No relevent experience,10/49,75
10800,No relevent experience,100-500,145
10801,Has relevent experience,10/49,67
10802,No relevent experience,<10,59
10803,Has relevent experience,100-500,26
10804,Has relevent experience,50-99,2
10805,Has relevent experience,100-500,9
10806,Has relevent experience,10000+,4
10807,No relevent experience,100-500,262
10808,Has relevent experience,50-99,48
10809,Has relevent experience,5000-9999,196
10810,No relevent experience,no experience,96
10811,Has relevent experience,50-99,246
10812,No relevent experience,10/49,45
10813,Has relevent experience,10000+,47
10814,Has relevent experience,no experience,140
10815,Has relevent experience,1000-4999,11
10816,Has relevent experience,10/49,11
10817,Has relevent experience,50-99,16
10818,Has relevent experience,50-99,57
10819,Has relevent experience,500-999,48
10820,Has relevent experience,<10,89
10821,Has relevent experience,100-500,24
10822,Has relevent experience,1000-4999,41
10823,Has relevent experience,50-99,4
10824,No relevent experience,no experience,108
10825,Has relevent experience,50-99,6
10826,Has relevent experience,100-500,12
10827,No relevent experience,5000-9999,6
10828,No relevent experience,50-99,56
10829,Has relevent experience,no experience,103
10830,No relevent experience,100-500,17
10831,Has relevent experience,<10,47
10832,No relevent experience,no experience,63
10833,No relevent experience,no experience,42
10834,No relevent experience,no experience,32
10835,Has relevent experience,5000-9999,10
10836,Has relevent experience,no experience,61
10837,Has relevent experience,no experience,112
10838,Has relevent experience,no experience,41
10839,Has relevent experience,500-999,44
10840,No relevent experience,no experience,56
10841,Has relevent experience,no experience,9
10842,Has relevent experience,50-99,4
10843,Has relevent experience,<10,10
10844,No relevent experience,1000-4999,54
10845,No relevent experience,no experience,25
10846,Has relevent experience,no experience,12
10847,Has relevent experience,no experience,9
10848,No relevent experience,no experience,19
10849,No relevent experience,no experience,69
10850,No relevent experience,no experience,8
10851,Has relevent experience,5000-9999,126
10852,Has relevent experience,1000-4999,48
10853,Has relevent experience,50-99,24
10854,Has relevent experience,10000+,48
10855,Has relevent experience,50-99,36
10856,Has relevent experience,1000-4999,54
10857,No relevent experience,100-500,12
10858,Has relevent experience,10000+,14
10859,Has relevent experience,1000-4999,8
10860,Has relevent experience,no experience,46
10861,No relevent experience,no experience,146
10862,Has relevent experience,50-99,60
10863,Has relevent experience,no experience,67
10864,No relevent experience,no experience,3
10865,No relevent experience,500-999,53
10866,Has relevent experience,500-999,31
10867,Has relevent experience,100-500,40
10868,Has relevent experience,no experience,222
10869,No relevent experience,no experience,192
10870,No relevent experience,no experience,23
10871,Has relevent experience,<10,152
10872,Has relevent experience,no experience,59
10873,No relevent experience,10/49,59
10874,No relevent experience,10/49,15
10875,No relevent experience,no experience,79
10876,No relevent experience,100-500,35
10877,Has relevent experience,10/49,43
10878,No relevent experience,100-500,34
10879,No relevent experience,no experience,24
10880,No relevent experience,no experience,129
10881,No relevent experience,1000-4999,48
10882,Has relevent experience,no experience,103
10883,Has relevent experience,10000+,107
10884,Has relevent experience,5000-9999,11
10885,Has relevent experience,100-500,13
10886,Has relevent experience,1000-4999,160
10887,No relevent experience,no experience,53
10888,Has relevent experience,10000+,161
10889,Has relevent experience,10000+,102
10890,Has relevent experience,100-500,7
10891,Has relevent experience,no experience,80
10892,No relevent experience,no experience,67
10893,Has relevent experience,50-99,112
10894,No relevent experience,50-99,8
10895,Has relevent experience,no experience,292
10896,Has relevent experience,<10,64
10897,Has relevent experience,no experience,14
10898,Has relevent experience,100-500,5
10899,No relevent experience,100-500,22
10900,Has relevent experience,100-500,84
10901,Has relevent experience,100-500,167
10902,No relevent experience,10000+,64
10903,Has relevent experience,10000+,45
10904,Has relevent experience,<10,88
10905,No relevent experience,no experience,21
10906,Has relevent experience,50-99,56
10907,Has relevent experience,10/49,37
10908,Has relevent experience,10/49,146
10909,Has relevent experience,10000+,28
10910,Has relevent experience,1000-4999,23
10911,Has relevent experience,100-500,5
10912,Has relevent experience,no experience,37
10913,No relevent experience,<10,214
10914,No relevent experience,50-99,58
10915,Has relevent experience,<10,174
10916,Has relevent experience,1000-4999,6
10917,Has relevent experience,100-500,60
10918,Has relevent experience,<10,6
10919,Has relevent experience,no experience,26
10920,Has relevent experience,50-99,8
10921,Has relevent experience,<10,73
10922,No relevent experience,no experience,121
10923,No relevent experience,50-99,72
10924,No relevent experience,no experience,129
10925,No relevent experience,no experience,73
10926,Has relevent experience,100-500,135
10927,Has relevent experience,10000+,102
10928,Has relevent experience,500-999,86
10929,No relevent experience,no experience,278
10930,Has relevent experience,no experience,7
10931,Has relevent experience,no experience,155
10932,Has relevent experience,100-500,52
10933,Has relevent experience,1000-4999,28
10934,Has relevent experience,10000+,40
10935,Has relevent experience,1000-4999,75
10936,Has relevent experience,50-99,28
10937,No relevent experience,100-500,20
10938,No relevent experience,no experience,90
10939,Has relevent experience,1000-4999,14
10940,Has relevent experience,10000+,24
10941,No relevent experience,no experience,22
10942,No relevent experience,100-500,55
10943,Has relevent experience,100-500,21
10944,Has relevent experience,10/49,54
10945,Has relevent experience,100-500,11
10946,Has relevent experience,no experience,41
10947,No relevent experience,50-99,152
10948,Has relevent experience,100-500,40
10949,Has relevent experience,no experience,83
10950,Has relevent experience,10/49,206
10951,No relevent experience,no experience,112
10952,Has relevent experience,10/49,15
10953,Has relevent experience,100-500,67
10954,No relevent experience,no experience,50
10955,Has relevent experience,no experience,73
10956,Has relevent experience,100-500,164
10957,Has relevent experience,10000+,66
10958,Has relevent experience,no experience,27
10959,Has relevent experience,500-999,330
10960,Has relevent experience,50-99,19
10961,Has relevent experience,<10,42
10962,Has relevent experience,no experience,96
10963,Has relevent experience,500-999,23
10964,Has relevent experience,10000+,24
10965,No relevent experience,no experience,96
10966,No relevent experience,no experience,110
10967,Has relevent experience,no experience,86
10968,Has relevent experience,50-99,146
10969,Has relevent experience,100-500,47
10970,Has relevent experience,100-500,11
10971,No relevent experience,no experience,42
10972,Has relevent experience,no experience,7
10973,Has relevent experience,no experience,200
10974,No relevent experience,no experience,22
10975,No relevent experience,<10,77
10976,Has relevent experience,no experience,29
10977,Has relevent experience,500-999,50
10978,Has relevent experience,<10,3
10979,Has relevent experience,100-500,70
10980,No relevent experience,no experience,99
10981,Has relevent experience,1000-4999,64
10982,Has relevent experience,5000-9999,94
10983,Has relevent experience,no experience,51
10984,No relevent experience,100-500,101
10985,Has relevent experience,5000-9999,35
10986,Has relevent experience,10/49,42
10987,No relevent experience,no experience,9
10988,Has relevent experience,<10,32
10989,No relevent experience,no experience,134
10990,Has relevent experience,no experience,22
10991,Has relevent experience,<10,24
10992,Has relevent experience,no experience,131
10993,Has relevent experience,10000+,31
10994,Has relevent experience,100-500,41
10995,Has relevent experience,1000-4999,17
10996,Has relevent experience,10/49,39
10997,No relevent experience,no experience,254
10998,Has relevent experience,50-99,46
10999,No relevent experience,no experience,39
11000,Has relevent experience,10000+,47
11001,Has relevent experience,50-99,94
11002,Has relevent experience,50-99,40
11003,No relevent experience,no experience,12
11004,Has relevent experience,10000+,242
11005,Has relevent experience,100-500,32
11006,No relevent experience,no experience,20
11007,No relevent experience,<10,184
11008,Has relevent experience,50-99,92
11009,Has relevent experience,1000-4999,196
11010,Has relevent experience,100-500,26
11011,Has relevent experience,no experience,44
11012,Has relevent experience,100-500,57
11013,No relevent experience,no experience,28
11014,Has relevent experience,100-500,3
11015,No relevent experience,no experience,74
11016,Has relevent experience,500-999,128
11017,Has relevent experience,50-99,157
11018,Has relevent experience,100-500,146
11019,Has relevent experience,10/49,31
11020,Has relevent experience,100-500,61
11021,Has relevent experience,no experience,40
11022,Has relevent experience,100-500,24
11023,Has relevent experience,50-99,224
11024,Has relevent experience,<10,36
11025,Has relevent experience,no experience,55
11026,No relevent experience,10/49,48
11027,No relevent experience,no experience,25
11028,No relevent experience,10/49,114
11029,No relevent experience,no experience,18
11030,No relevent experience,5000-9999,23
11031,No relevent experience,no experience,11
11032,Has relevent experience,10/49,100
11033,Has relevent experience,no experience,46
11034,Has relevent experience,50-99,51
11035,No relevent experience,no experience,200
11036,Has relevent experience,no experience,30
11037,Has relevent experience,no experience,20
11038,No relevent experience,10/49,15
11039,Has relevent experience,10000+,74
11040,Has relevent experience,no experience,15
11041,Has relevent experience,10000+,39
11042,Has relevent experience,<10,21
11043,No relevent experience,no experience,18
11044,No relevent experience,no experience,10
11045,No relevent experience,no experience,65
11046,Has relevent experience,10000+,11
11047,No relevent experience,no experience,39
11048,Has relevent experience,100-500,144
11049,No relevent experience,no experience,9
11050,Has relevent experience,100-500,18
11051,Has relevent experience,no experience,10
11052,Has relevent experience,10/49,43
11053,No relevent experience,<10,55
11054,Has relevent experience,1000-4999,180
11055,No relevent experience,10000+,18
11056,No relevent experience,10000+,140
11057,Has relevent experience,100-500,42
11058,Has relevent experience,10/49,42
11059,No relevent experience,no experience,14
11060,Has relevent experience,100-500,96
11061,Has relevent experience,5000-9999,43
11062,No relevent experience,10000+,65
11063,Has relevent experience,10000+,22
11064,No relevent experience,no experience,17
11065,Has relevent experience,no experience,24
11066,Has relevent experience,no experience,15
11067,Has relevent experience,5000-9999,4
11068,Has relevent experience,<10,85
11069,Has relevent experience,50-99,326
11070,Has relevent experience,10/49,11
11071,Has relevent experience,1000-4999,31
11072,Has relevent experience,no experience,22
11073,Has relevent experience,10/49,44
11074,Has relevent experience,5000-9999,163
11075,No relevent experience,50-99,90
11076,Has relevent experience,100-500,9
11077,Has relevent experience,50-99,226
11078,No relevent experience,50-99,80
11079,Has relevent experience,100-500,3
11080,Has relevent experience,5000-9999,42
11081,Has relevent experience,no experience,65
11082,Has relevent experience,<10,33
11083,Has relevent experience,100-500,77
11084,Has relevent experience,50-99,114
11085,Has relevent experience,1000-4999,15
11086,Has relevent experience,1000-4999,44
11087,Has relevent experience,100-500,25
11088,Has relevent experience,10000+,27
11089,Has relevent experience,100-500,78
11090,Has relevent experience,100-500,3
11091,Has relevent experience,100-500,15
11092,Has relevent experience,10/49,72
11093,Has relevent experience,50-99,56
11094,No relevent experience,no experience,24
11095,Has relevent experience,10000+,18
11096,Has relevent experience,50-99,31
11097,No relevent experience,50-99,59
11098,Has relevent experience,no experience,23
11099,Has relevent experience,1000-4999,21
11100,No relevent experience,no experience,114
11101,No relevent experience,no experience,15
11102,Has relevent experience,<10,73
11103,Has relevent experience,10000+,69
11104,Has relevent experience,no experience,17
11105,Has relevent experience,1000-4999,26
11106,Has relevent experience,100-500,26
11107,No relevent experience,no experience,34
11108,Has relevent experience,<10,50
11109,Has relevent experience,10000+,26
11110,Has relevent experience,no experience,152
11111,Has relevent experience,100-500,63
11112,No relevent experience,no experience,72
11113,Has relevent experience,no experience,10
11114,No relevent experience,no experience,11
11115,Has relevent experience,500-999,143
11116,No relevent experience,no experience,28
11117,No relevent experience,no experience,18
11118,Has relevent experience,100-500,56
11119,Has relevent experience,1000-4999,52
11120,Has relevent experience,50-99,53
11121,Has relevent experience,50-99,41
11122,No relevent experience,no experience,44
11123,Has relevent experience,<10,62
11124,Has relevent experience,5000-9999,6
11125,No relevent experience,10000+,26
11126,Has relevent experience,50-99,37
11127,Has relevent experience,1000-4999,12
11128,Has relevent experience,no experience,19
11129,No relevent experience,50-99,59
11130,Has relevent experience,100-500,72
11131,Has relevent experience,1000-4999,105
11132,No relevent experience,no experience,26
11133,Has relevent experience,50-99,72
11134,Has relevent experience,10000+,98
11135,No relevent experience,500-999,5
11136,No relevent experience,10000+,23
11137,Has relevent experience,<10,322
11138,Has relevent experience,10/49,63
11139,Has relevent experience,10000+,96
11140,Has relevent experience,100-500,9
11141,Has relevent experience,10/49,78
11142,Has relevent experience,10/49,31
11143,No relevent experience,no experience,22
11144,Has relevent experience,100-500,3
11145,Has relevent experience,50-99,62
11146,Has relevent experience,50-99,84
11147,Has relevent experience,50-99,196
11148,Has relevent experience,100-500,54
11149,Has relevent experience,no experience,13
11150,Has relevent experience,no experience,34
11151,No relevent experience,no experience,31
11152,Has relevent experience,no experience,37
11153,Has relevent experience,50-99,23
11154,No relevent experience,no experience,13
11155,Has relevent experience,10000+,112
11156,No relevent experience,no experience,166
11157,Has relevent experience,50-99,160
11158,Has relevent experience,100-500,7
11159,Has relevent experience,no experience,182
11160,No relevent experience,10000+,45
11161,Has relevent experience,10000+,81
11162,Has relevent experience,10000+,142
11163,Has relevent experience,100-500,110
11164,Has relevent experience,50-99,21
11165,Has relevent experience,50-99,15
11166,Has relevent experience,50-99,48
11167,Has relevent experience,<10,23
11168,Has relevent experience,10000+,6
11169,No relevent experience,no experience,73
11170,Has relevent experience,10/49,11
11171,Has relevent experience,10000+,12
11172,Has relevent experience,50-99,6
11173,Has relevent experience,100-500,32
11174,No relevent experience,no experience,52
11175,Has relevent experience,no experience,111
11176,Has relevent experience,100-500,212
11177,Has relevent experience,100-500,30
11178,Has relevent experience,1000-4999,37
11179,Has relevent experience,1000-4999,6
11180,Has relevent experience,10000+,68
11181,Has relevent experience,10/49,123
11182,No relevent experience,no experience,56
11183,No relevent experience,no experience,10
11184,No relevent experience,50-99,18
11185,Has relevent experience,50-99,182
11186,Has relevent experience,10000+,196
11187,Has relevent experience,50-99,133
11188,Has relevent experience,1000-4999,21
11189,Has relevent experience,100-500,17
11190,Has relevent experience,10000+,80
11191,Has relevent experience,5000-9999,43
11192,Has relevent experience,no experience,21
11193,Has relevent experience,50-99,28
11194,Has relevent experience,<10,47
11195,Has relevent experience,no experience,65
11196,Has relevent experience,no experience,84
11197,Has relevent experience,500-999,56
11198,Has relevent experience,no experience,133
11199,Has relevent experience,50-99,16
11200,Has relevent experience,no experience,112
11201,Has relevent experience,10/49,72
11202,No relevent experience,no experience,29
11203,Has relevent experience,10000+,36
11204,No relevent experience,1000-4999,51
11205,No relevent experience,10000+,35
11206,Has relevent experience,no experience,64
11207,Has relevent experience,10000+,8
11208,Has relevent experience,10/49,24
11209,Has relevent experience,no experience,42
11210,Has relevent experience,10/49,17
11211,Has relevent experience,10/49,204
11212,No relevent experience,no experience,7
11213,No relevent experience,no experience,125
11214,Has relevent experience,no experience,17
11215,Has relevent experience,10000+,136
11216,No relevent experience,100-500,40
11217,Has relevent experience,50-99,104
11218,Has relevent experience,100-500,56
11219,Has relevent experience,<10,3
11220,No relevent experience,no experience,25
11221,Has relevent experience,50-99,83
11222,Has relevent experience,10000+,14
11223,Has relevent experience,no experience,31
11224,Has relevent experience,100-500,33
11225,Has relevent experience,50-99,22
11226,Has relevent experience,10000+,35
11227,Has relevent experience,10000+,12
11228,No relevent experience,100-500,27
11229,No relevent experience,50-99,198
11230,Has relevent experience,10/49,58
11231,No relevent experience,10000+,8
11232,Has relevent experience,1000-4999,99
11233,Has relevent experience,<10,35
11234,No relevent experience,no experience,57
11235,Has relevent experience,10/49,50
11236,Has relevent experience,5000-9999,72
11237,Has relevent experience,10/49,204
11238,No relevent experience,no experience,47
11239,Has relevent experience,no experience,23
11240,Has relevent experience,50-99,47
11241,Has relevent experience,<10,163
11242,No relevent experience,<10,65
11243,Has relevent experience,10000+,128
11244,No relevent experience,5000-9999,9
11245,Has relevent experience,50-99,124
11246,Has relevent experience,10000+,56
11247,Has relevent experience,50-99,18
11248,Has relevent experience,100-500,64
11249,Has relevent experience,no experience,192
11250,Has relevent experience,1000-4999,102
11251,No relevent experience,<10,7
11252,No relevent experience,no experience,50
11253,No relevent experience,no experience,37
11254,No relevent experience,no experience,47
11255,Has relevent experience,50-99,45
11256,No relevent experience,50-99,9
11257,Has relevent experience,10000+,100
11258,Has relevent experience,<10,83
11259,Has relevent experience,100-500,21
11260,Has relevent experience,50-99,8
11261,Has relevent experience,<10,63
11262,Has relevent experience,1000-4999,62
11263,Has relevent experience,100-500,116
11264,Has relevent experience,5000-9999,41
11265,Has relevent experience,1000-4999,250
11266,No relevent experience,no experience,34
11267,Has relevent experience,1000-4999,152
11268,No relevent experience,no experience,19
11269,Has relevent experience,10000+,58
11270,Has relevent experience,50-99,33
11271,Has relevent experience,<10,24
11272,No relevent experience,1000-4999,97
11273,Has relevent experience,50-99,22
11274,Has relevent experience,1000-4999,6
11275,Has relevent experience,10/49,9
11276,No relevent experience,100-500,52
11277,Has relevent experience,10/49,218
11278,Has relevent experience,no experience,17
11279,Has relevent experience,50-99,55
11280,Has relevent experience,no experience,69
11281,Has relevent experience,100-500,64
11282,Has relevent experience,<10,51
11283,Has relevent experience,1000-4999,60
11284,No relevent experience,no experience,25
11285,No relevent experience,10000+,9
11286,Has relevent experience,no experience,21
11287,Has relevent experience,50-99,66
11288,No relevent experience,100-500,39
11289,No relevent experience,no experience,94
11290,No relevent experience,<10,133
11291,Has relevent experience,10000+,176
11292,Has relevent experience,50-99,148
11293,Has relevent experience,10/49,37
11294,Has relevent experience,no experience,38
11295,Has relevent experience,100-500,126
11296,Has relevent experience,100-500,324
11297,Has relevent experience,100-500,76
11298,Has relevent experience,10/49,41
11299,No relevent experience,10/49,54
11300,Has relevent experience,50-99,26
11301,No relevent experience,no experience,117
11302,Has relevent experience,100-500,9
11303,No relevent experience,no experience,36
11304,No relevent experience,100-500,57
11305,No relevent experience,no experience,34
11306,Has relevent experience,no experience,47
11307,No relevent experience,no experience,21
11308,Has relevent experience,no experience,30
11309,Has relevent experience,<10,12
11310,Has relevent experience,10000+,157
11311,Has relevent experience,10/49,134
11312,No relevent experience,<10,15
11313,Has relevent experience,no experience,27
11314,Has relevent experience,<10,45
11315,No relevent experience,no experience,64
11316,Has relevent experience,<10,11
11317,No relevent experience,no experience,52
11318,Has relevent experience,10/49,15
11319,No relevent experience,no experience,14
11320,Has relevent experience,50-99,68
11321,No relevent experience,1000-4999,50
11322,No relevent experience,100-500,18
11323,No relevent experience,no experience,16
11324,Has relevent experience,500-999,53
11325,Has relevent experience,50-99,7
11326,No relevent experience,no experience,226
11327,No relevent experience,no experience,23
11328,Has relevent experience,50-99,98
11329,Has relevent experience,10000+,63
11330,Has relevent experience,100-500,23
11331,Has relevent experience,<10,77
11332,Has relevent experience,10000+,40
11333,Has relevent experience,no experience,76
11334,Has relevent experience,1000-4999,141
11335,Has relevent experience,1000-4999,124
11336,Has relevent experience,no experience,105
11337,Has relevent experience,50-99,56
11338,Has relevent experience,no experience,99
11339,Has relevent experience,50-99,48
11340,Has relevent experience,1000-4999,24
11341,Has relevent experience,no experience,92
11342,No relevent experience,no experience,68
11343,Has relevent experience,1000-4999,256
11344,Has relevent experience,50-99,62
11345,Has relevent experience,100-500,19
11346,No relevent experience,no experience,98
11347,No relevent experience,no experience,112
11348,No relevent experience,500-999,105
11349,No relevent experience,no experience,228
11350,Has relevent experience,50-99,130
11351,No relevent experience,no experience,24
11352,No relevent experience,no experience,34
11353,No relevent experience,no experience,47
11354,Has relevent experience,100-500,44
11355,Has relevent experience,<10,94
11356,Has relevent experience,no experience,59
11357,Has relevent experience,no experience,144
11358,No relevent experience,1000-4999,80
11359,Has relevent experience,1000-4999,12
11360,No relevent experience,no experience,150
11361,Has relevent experience,1000-4999,44
11362,Has relevent experience,10/49,53
11363,Has relevent experience,10000+,54
11364,Has relevent experience,10/49,17
11365,No relevent experience,no experience,138
11366,No relevent experience,no experience,78
11367,No relevent experience,50-99,4
11368,Has relevent experience,10/49,39
11369,No relevent experience,10/49,12
11370,Has relevent experience,50-99,15
11371,Has relevent experience,10000+,164
11372,Has relevent experience,1000-4999,45
11373,Has relevent experience,10/49,90
11374,Has relevent experience,1000-4999,65
11375,Has relevent experience,500-999,7
11376,No relevent experience,no experience,31
11377,Has relevent experience,no experience,43
11378,No relevent experience,no experience,96
11379,No relevent experience,no experience,30
11380,Has relevent experience,1000-4999,81
11381,Has relevent experience,<10,50
11382,No relevent experience,no experience,72
11383,Has relevent experience,100-500,17
11384,Has relevent experience,1000-4999,28
11385,Has relevent experience,<10,154
11386,No relevent experience,no experience,167
11387,Has relevent experience,50-99,116
11388,No relevent experience,no experience,28
11389,Has relevent experience,no experience,38
11390,Has relevent experience,10/49,60
11391,No relevent experience,no experience,110
11392,Has relevent experience,5000-9999,25
11393,Has relevent experience,100-500,52
11394,Has relevent experience,no experience,68
11395,No relevent experience,<10,106
11396,Has relevent experience,100-500,18
11397,Has relevent experience,10000+,266
11398,Has relevent experience,<10,316
11399,Has relevent experience,50-99,136
11400,No relevent experience,no experience,98
11401,Has relevent experience,100-500,10
11402,Has relevent experience,100-500,16
11403,Has relevent experience,10/49,142
11404,No relevent experience,500-999,32
11405,Has relevent experience,1000-4999,6
11406,No relevent experience,no experience,61
11407,Has relevent experience,1000-4999,145
11408,No relevent experience,no experience,80
11409,No relevent experience,no experience,234
11410,Has relevent experience,100-500,136
11411,Has relevent experience,5000-9999,51
11412,No relevent experience,1000-4999,102
11413,No relevent experience,10000+,25
11414,Has relevent experience,50-99,31
11415,Has relevent experience,10000+,48
11416,Has relevent experience,no experience,23
11417,Has relevent experience,100-500,33
11418,Has relevent experience,5000-9999,24
11419,Has relevent experience,<10,36
11420,Has relevent experience,no experience,11
11421,Has relevent experience,no experience,113
11422,Has relevent experience,100-500,58
11423,Has relevent experience,<10,60
11424,Has relevent experience,no experience,7
11425,Has relevent experience,no experience,22
11426,Has relevent experience,50-99,79
11427,No relevent experience,50-99,52
11428,Has relevent experience,50-99,29
11429,No relevent experience,no experience,23
11430,Has relevent experience,1000-4999,100
11431,No relevent experience,1000-4999,83
11432,Has relevent experience,10000+,9
11433,Has relevent experience,500-999,4
11434,Has relevent experience,100-500,69
11435,Has relevent experience,50-99,52
11436,Has relevent experience,no experience,109
11437,Has relevent experience,10000+,109
11438,Has relevent experience,50-99,55
11439,Has relevent experience,10/49,57
11440,Has relevent experience,50-99,24
11441,Has relevent experience,500-999,36
11442,Has relevent experience,no experience,89
11443,No relevent experience,no experience,4
11444,No relevent experience,no experience,77
11445,Has relevent experience,100-500,90
11446,No relevent experience,no experience,128
11447,Has relevent experience,1000-4999,16
11448,Has relevent experience,10000+,44
11449,Has relevent experience,100-500,36
11450,No relevent experience,no experience,34
11451,No relevent experience,no experience,36
11452,Has relevent experience,no experience,55
11453,Has relevent experience,100-500,24
11454,Has relevent experience,no experience,160
11455,No relevent experience,no experience,45
11456,Has relevent experience,50-99,22
11457,Has relevent experience,1000-4999,68
11458,Has relevent experience,1000-4999,214
11459,No relevent experience,no experience,4
11460,Has relevent experience,10/49,258
11461,Has relevent experience,no experience,35
11462,No relevent experience,no experience,22
11463,Has relevent experience,100-500,33
11464,No relevent experience,100-500,17
11465,Has relevent experience,5000-9999,41
11466,Has relevent experience,5000-9999,82
11467,Has relevent experience,500-999,46
11468,Has relevent experience,500-999,100
11469,No relevent experience,10000+,56
11470,Has relevent experience,100-500,34
11471,No relevent experience,no experience,49
11472,Has relevent experience,1000-4999,11
11473,Has relevent experience,500-999,16
11474,Has relevent experience,<10,107
11475,Has relevent experience,<10,258
11476,No relevent experience,10000+,12
11477,Has relevent experience,no experience,30
11478,Has relevent experience,50-99,12
11479,Has relevent experience,10000+,17
11480,No relevent experience,no experience,32
11481,Has relevent experience,no experience,43
11482,Has relevent experience,no experience,44
11483,Has relevent experience,100-500,13
11484,No relevent experience,10000+,55
11485,Has relevent experience,<10,23
11486,Has relevent experience,no experience,70
11487,Has relevent experience,10/49,61
11488,No relevent experience,no experience,116
11489,Has relevent experience,no experience,116
11490,No relevent experience,no experience,56
11491,Has relevent experience,no experience,16
11492,Has relevent experience,1000-4999,9
11493,Has relevent experience,no experience,32
11494,Has relevent experience,10/49,103
11495,Has relevent experience,<10,20
11496,Has relevent experience,<10,113
11497,Has relevent experience,10/49,76
11498,Has relevent experience,10000+,4
11499,No relevent experience,no experience,70
11500,Has relevent experience,500-999,44
11501,Has relevent experience,no experience,45
11502,No relevent experience,no experience,40
11503,Has relevent experience,100-500,32
11504,Has relevent experience,no experience,35
11505,Has relevent experience,10000+,224
11506,Has relevent experience,10/49,67
11507,No relevent experience,<10,66
11508,Has relevent experience,50-99,88
11509,Has relevent experience,<10,176
11510,Has relevent experience,50-99,77
11511,Has relevent experience,no experience,8
11512,Has relevent experience,<10,15
11513,Has relevent experience,50-99,97
11514,No relevent experience,10000+,18
11515,No relevent experience,no experience,25
11516,Has relevent experience,10000+,14
11517,Has relevent experience,100-500,42
11518,Has relevent experience,500-999,8
11519,No relevent experience,no experience,28
11520,No relevent experience,50-99,62
11521,Has relevent experience,100-500,48
11522,Has relevent experience,100-500,20
